Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-74.27384	-198.8255	124.5517	2.108397	0.9314905	0.1587199	0.434212	0.565788	1.266948
6	-82.90885	-205.7165	122.8077	2.633242	1.40198	0.6629216	0.629007	0.370993	1.064822
12	-78.98473	-201.9297	122.945	2.633242	1.40198	0.6629216	0.388073	0.611927	0.9266816
18	-74.91651	-199.4724	124.5559	1.987935	1.40198	0.2360714	0.620501	0.379499	0.700715
24	-77.41919	-201.2475	123.8283	2.487408	1.40198	0.2467114	0.516102	0.483898	0.9557697
30	-94.20199	-219.1615	124.9595	1.508116	0.3445404	0.007177109	0.343782	0.656218	2.331336
36	-88.28464	-210.933	122.6484	1.910699	6.117507	0.05989856	0.51519	0.48481	1.43905
42	-81.1134	-203.1811	122.0677	2.080883	10.78381	0.04114549	0.250797	0.749203	1.144959
48	-85.37526	-205.7662	120.3909	1.630526	10.78381	0.250156	0.128258	0.871742	2.133472
54	-81.86599	-202.0783	120.2123	1.873624	21.93069	0.250156	0.686858	0.313142	1.227391
60	-85.78579	-208.6504	122.8646	2.017055	5.708577	0.0347096	0.735571	0.264429	1.36268
66	-80.38314	-205.5146	125.1315	1.672052	0.8706903	0.03406419	0.7329	0.2671	1.617648
72	-77.95324	-202.4738	124.5205	1.875328	0.5684251	0.001202897	0.439921	0.560079	1.557707
78	-84.23598	-210.6744	126.4384	1.498509	0.06621257	0.001458023	0.400931	0.599069	1.448177
84	-80.57215	-202.8616	122.2895	2.495848	0.8517048	2.061386	0.539218	0.460782	1.051784
90	-84.98482	-204.4241	119.4393	1.877163	17.68102	0.09079272	0.78482	0.21518	2.402969
96	-65.25686	-189.8107	124.5538	1.471331	1.634598	0.003909361	0.533328	0.466672	1.522781
102	-70.12006	-194.2144	124.0944	1.297482	1.634598	0.1201316	0.638204	0.361796	1.870158
108	-74.18625	-196.593	122.4068	1.236986	1.634598	0.1201316	0.236538	0.763462	2.976578
114	-72.9901	-196.6809	123.6908	1.499477	1.571586	0.0517512	0.300441	0.699559	2.235891
120	-75.83122	-200.7446	124.9134	1.687874	1.261237	0.08045663	0.694038	0.305962	1.31493
126	-73.33938	-197.9949	124.6555	2.059255	0.969005	0.1710105	0.552948	0.447052	1.15217
132	-67.67519	-191.4938	123.8186	1.518569	0.969005	0.04558652	0.244093	0.755907	2.485292
138	-79.14456	-201.4029	122.2583	1.443372	3.393381	0.08612837	0.629268	0.370732	2.485292
144	-77.82509	-202.1114	124.2864	1.575537	3.393381	0.04821986	0.219011	0.780989	1.079458
150	-71.99301	-198.0241	126.031	1.998257	0.3421589	0.03963564	0.500757	0.499243	1.26492
156	-78.16978	-201.7836	123.6139	1.774422	4.706193	0.05949576	0.62409	0.37591	1.057769
162	-99.29659	-223.056	123.7594	2.616196	1.157009	0.004151821	0.645172	0.354828	1.556434
168	-85.54215	-211.1739	125.6317	1.659421	0.01581751	0.02191724	0.225623	0.774377	2.555059
174	-85.62977	-207.3346	121.7048	1.733378	2.789934	1.068646	0.635643	0.364357	1.655684
180	-85.1123	-208.1771	123.0648	2.23632	5.062953	0.01272839	0.718342	0.281658	1.186068
186	-82.27697	-205.737	123.4601	2.289099	5.062953	0.01272839	0.922571	0.0774287	0.6942253
192	-82.52131	-204.8448	122.3235	2.053012	5.062953	0.2622437	0.562267	0.437733	1.23349
198	-83.73879	-205.5489	121.8102	2.053012	8.973089	0.123776	0.247279	0.752721	1.313522
204	-91.88626	-211.9251	120.0388	1.784897	8.973089	0.1340115	0.622254	0.377746	2.668233
210	-82.24556	-206.2569	124.0113	1.839487	0.9935077	0.2202765	0.659877	0.340123	1.687964
216	-85.6587	-207.1421	121.4834	1.669508	10.77916	0.03264196	0.834867	0.165133	1.92225
222	-80.96128	-205.9959	125.0347	2.288644	0.9439516	0.02619254	0.109837	0.890163	1.174257
228	-76.03209	-198.647	122.6149	1.730444	0.5000797	0.6590828	0.57087	0.42913	2.543052
234	-61.23729	-187.9881	126.7508	1.683847	0.3136624	0.03597177	0.423693	0.576307	0.9692218
240	-64.99427	-187.9499	122.9556	1.488096	10.21904	0.03597177	0.78066	0.21934	0.9692218
246	-64.87891	-187.5908	122.7119	0.9432747	10.21904	0.03597177	0.445892	0.554108	1.620512
252	-57.49417	-182.7738	125.2796	1.707539	0.6174792	0.1020588	0.772374	0.227626	1.479243
258	-57.90418	-181.9228	124.0186	0.8514827	2.185444	0.07778644	0.31916	0.68084	2.114495
264	-63.0532	-186.587	123.5338	1.506792	2.185444	0.1692241	0.431684	0.568316	1.758894
270	-63.13023	-186.664	123.5338	1.506792	2.185444	0.1692241	0.451672	0.548328	1.758894
276	-66.20966	-188.8386	122.6289	1.770164	1.477899	0.5577587	0.611355	0.388645	1.929926
